partida_id,source,source_match_id,source_url,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
4558,Transfermarkt,2344248,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344248,2013,34,2013-11-13,Gremio,Vasco,1,0,exact,4-5-1 plano,5-3-2,Renato Gaúcho,Adilson Batista
4559,Transfermarkt,2344271,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344271,2013,34,2013-11-13,Botafogo-RJ,Portuguesa,0,0,exact,4-3-3,4-4-2,Oswaldo de Oliveira,Guto Ferreira
4560,Transfermarkt,2344283,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344283,2013,34,2013-11-13,Criciuma,Athletico-PR,2,1,exact,4-4-2,3-5-2,Argel Fuchs,Vagner Mancini
4561,Transfermarkt,2344306,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344306,2013,34,2013-11-13,Coritiba,Corinthians,0,1,exact,3-5-2,3-4-3,Péricles Chamusca,Tite
4562,Transfermarkt,2344293,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344293,2013,34,2013-11-13,Sao Paulo,Flamengo,2,0,exact,5-3-2,4-4-2,Muricy Ramalho,Jayme de Almeida Filho
4563,Transfermarkt,2344305,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344305,2013,34,2013-11-13,Vitoria,Cruzeiro,1,3,exact,4-4-2,4-2-4,Ney Franco,Marcelo Oliveira
4564,Transfermarkt,2344272,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344272,2013,34,2013-11-14,Santos,Bahia,3,0,exact,4-4-2,3-5-2,Claudinei Oliveira,Cristóvão Borges
4565,Transfermarkt,2344301,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344301,2013,34,2013-11-14,Atletico-MG,Internacional,2,1,exact,3-4-3,4-5-1,Cuca,Clemer
4566,Transfermarkt,2344300,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344300,2013,34,2013-11-14,Fluminense,Nautico,2,0,exact,4-5-1,4-4-2,Dorival Júnior,Marcelo Martelotte
4567,Transfermarkt,2344278,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344278,2013,35,2013-11-16,Botafogo-RJ,Athletico-PR,4,0,exact,4-3-3,3-4-3,Oswaldo de Oliveira,Vagner Mancini
4568,Transfermarkt,2344237,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344237,2013,35,2013-11-16,Coritiba,Criciuma,1,2,exact,3-6-1,4-4-2,Péricles Chamusca,Argel Fuchs
4569,Transfermarkt,2344255,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344255,2013,35,2013-11-17,Corinthians,Vasco,0,0,exact,3-5-2,4-5-1,Tite,Adilson Batista
4570,Transfermarkt,2344284,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344284,2013,35,2013-11-17,Cruzeiro,Ponte Preta,2,2,exact,3-5-2,4-4-2,Marcelo Oliveira,Jorginho
4571,Transfermarkt,2344307,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344307,2013,35,2013-11-17,Fluminense,Sao Paulo,2,1,exact,4-4-2,3-5-2,Dorival Júnior,Muricy Ramalho
4572,Transfermarkt,2344315,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344315,2013,35,2013-11-17,Vitoria,Santos,2,0,exact,4-3-3,4-4-2,Ney Franco,Claudinei Oliveira
4573,Transfermarkt,2344309,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344309,2013,35,2013-11-17,Goias,Internacional,3,1,exact,4-4-2,4-5-1,Enderson Moreira,Clemer
4574,Transfermarkt,2344287,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344287,2013,35,2013-11-17,Gremio,Flamengo,2,1,exact,4-5-1 plano,5-3-2,Renato Gaúcho,Jayme de Almeida Filho
4575,Transfermarkt,2344241,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344241,2013,35,2013-11-17,Nautico,Bahia,0,1,exact,5-3-2,4-4-2,Marcelo Martelotte,Cristóvão Borges
4576,Transfermarkt,2344238,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344238,2013,35,2013-11-17,Portuguesa,Atletico-MG,2,0,exact,4-3-3,4-3-3,Guto Ferreira,Cuca
4577,Transfermarkt,2344249,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344249,2013,36,2013-11-23,Criciuma,Vitoria,1,1,exact,4-4-2,4-3-3,Argel Fuchs,Ney Franco
4578,Transfermarkt,2344295,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344295,2013,36,2013-11-23,Vasco,Cruzeiro,2,1,exact,3-5-2,4-3-3,Adilson Batista,Marcelo Oliveira
4579,Transfermarkt,2344310,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344310,2013,36,2013-11-23,Atletico-MG,Goias,4,1,exact,4-2-3-1,4-2-3-1,Cuca,Enderson Moreira
4580,Transfermarkt,2344256,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344256,2013,36,2013-11-24,Athletico-PR,Nautico,6,1,exact,2-6-2,5-5-0,Vagner Mancini,Marcelo Martelotte
4581,Transfermarkt,2344296,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344296,2013,36,2013-11-24,Flamengo,Corinthians,1,0,exact,4-2-3-1,4-2-3-1,Jayme de Almeida Filho,Tite
4582,Transfermarkt,2344321,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344321,2013,36,2013-11-24,Ponte Preta,Gremio,1,1,exact,4-4-2 losango,4-2-3-1,Jorginho,Renato Gaúcho
4583,Transfermarkt,2344297,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344297,2013,36,2013-11-24,Santos,Fluminense,1,0,exact,4-3-1-2,4-2-3-1,Claudinei Oliveira,Dorival Júnior
4584,Transfermarkt,2344275,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344275,2013,36,2013-11-24,Bahia,Portuguesa,1,0,exact,4-3-3 defensivo,4-3-3 defensivo,Cristóvão Borges,Guto Ferreira
4585,Transfermarkt,2344320,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344320,2013,36,2013-11-24,Internacional,Coritiba,0,0,exact,4-4-2 duplo 6,5-3-2,Clemer,Tcheco
4586,Transfermarkt,2344285,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344285,2013,36,2013-11-24,Sao Paulo,Botafogo-RJ,1,1,exact,4-4-2 duplo 6,4-2-3-1,Muricy Ramalho,Oswaldo de Oliveira
4587,Transfermarkt,2344279,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344279,2013,37,2013-11-30,Fluminense,Atletico-MG,2,2,exact,4-2-3-1,4-2-3-1,Dorival Júnior,Cuca
4588,Transfermarkt,2344229,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344229,2013,37,2013-11-30,Corinthians,Internacional,0,0,exact,4-2-3-1,4-2-3-1,Tite,Clemer
4589,Transfermarkt,2344273,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344273,2013,37,2013-12-01,Coritiba,Botafogo-RJ,2,1,exact,4-3-2-1,4-2-3-1,Tcheco,Oswaldo de Oliveira
4590,Transfermarkt,2344274,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344274,2013,37,2013-12-01,Criciuma,Sao Paulo,1,0,exact,4-4-2,3-4-3,Argel Fuchs,Muricy Ramalho
4591,Transfermarkt,2344264,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344264,2013,37,2013-12-01,Cruzeiro,Bahia,1,2,exact,4-3-3,3-5-2,Marcelo Oliveira,Cristóvão Borges
4592,Transfermarkt,2344288,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344288,2013,37,2013-12-01,Ponte Preta,Portuguesa,0,2,exact,4-2-3-1,4-3-3 defensivo,Jorginho,Guto Ferreira
4593,Transfermarkt,2344250,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344250,2013,37,2013-12-01,Vasco,Nautico,2,0,exact,4-4-2 duplo 6,4-4-2 losango,Ricardo Gomes,Marcelo Martelotte
4594,Transfermarkt,2344262,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344262,2013,37,2013-12-01,Vitoria,Flamengo,4,2,exact,4-3-3,4-5-1,Ney Franco,Jayme de Almeida Filho
4595,Transfermarkt,2344286,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344286,2013,37,2013-12-01,Gremio,Goias,1,0,exact,4-2-3-1,4-2-3-1,Renato Gaúcho,Enderson Moreira
4596,Transfermarkt,2344226,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344226,2013,37,2013-12-01,Santos,Athletico-PR,2,1,exact,4-2-3-1,4-3-1-2,Claudinei Oliveira,Vagner Mancini
