source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,1093755,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093755,3590,2011,13,2011-07-31,Sao Paulo,Vasco,0,2,4-4-2,4-4-2,Adilson Batista,Ricardo Gomes
Transfermarkt,1093756,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093756,3591,2011,13,2011-07-31,Fluminense,Ceara,4,0,4-4-2,4-4-2,Abel Braga,Vagner Mancini
Transfermarkt,1093757,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093757,3592,2011,13,2011-07-31,Internacional,Atletico-GO,0,0,4-5-1,4-4-2,,
Transfermarkt,1093758,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093758,3593,2011,13,2011-07-31,Avai,Corinthians,3,2,3-5-2,4-3-3 defensivo,Alexandre Gallo,Tite
Transfermarkt,1093759,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093759,3594,2011,13,2011-07-31,Athletico-PR,Santos,3,2,4-5-1,4-4-2,Renato Gaúcho,Muricy Ramalho
Transfermarkt,1093753,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093753,3595,2011,13,2011-07-31,America-MG,Coritiba,1,3,3-5-2,4-4-2,Antônio Lopes,Marcelo Oliveira
Transfermarkt,1093760,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093760,3596,2011,13,2011-07-31,Bahia,Figueirense,3,1,4-4-2,4-4-2,Renê Simões,Jorginho
Transfermarkt,1093771,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093771,3607,2011,15,2011-08-06,Flamengo,Coritiba,1,0,4-4-2,4-4-2,Vanderlei Luxemburgo,Marcelo Oliveira
Transfermarkt,1093772,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093772,3608,2011,15,2011-08-06,Palmeiras,Gremio,0,0,4-4-2,3-5-2,Luiz Felipe Scolari,Celso Roth
Transfermarkt,1093773,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093773,3609,2011,15,2011-08-06,Atletico-MG,Figueirense,1,2,3-5-2,4-4-2,Dorival Júnior,Jorginho
Transfermarkt,1093774,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093774,3610,2011,15,2011-08-07,Internacional,Cruzeiro,3,2,4-4-2,4-4-2,Osmar Loss,Joel Santana
Transfermarkt,1093775,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093775,3611,2011,15,2011-08-07,Santos,Ceara,1,0,4-5-1,4-4-2,Muricy Ramalho,Vagner Mancini
Transfermarkt,1093776,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093776,3612,2011,15,2011-08-07,Athletico-PR,Corinthians,1,1,4-5-1,4-4-2,Renato Gaúcho,Tite
Transfermarkt,1093777,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093777,3613,2011,15,2011-08-07,America-MG,Fluminense,3,0,3-5-2,4-4-2,Givanildo Oliveira,Abel Braga
Transfermarkt,1093780,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093780,3614,2011,15,2011-08-07,Bahia,Atletico-GO,2,1,4-4-2,4-4-2,,
Transfermarkt,1093779,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093779,3615,2011,15,2011-08-07,Avai,Sao Paulo,1,2,3-5-2,4-5-1,Alexandre Gallo,Adilson Batista
Transfermarkt,1093778,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093778,3616,2011,15,2011-08-07,Botafogo-RJ,Vasco,4,0,4-4-2,4-4-2,Caio Júnior,Ricardo Gomes
Transfermarkt,1093781,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093781,3617,2011,16,2011-08-13,Sao Paulo,Athletico-PR,2,2,4-4-2,4-5-1,Adilson Batista,Renato Gaúcho
Transfermarkt,1093782,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093782,3618,2011,16,2011-08-13,Atletico-GO,Santos,2,0,4-4-2,4-4-2,,
Transfermarkt,1093783,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093783,3619,2011,16,2011-08-13,Cruzeiro,Avai,5,0,4-4-2,3-5-2,Joel Santana,Alexandre Gallo
Transfermarkt,1093784,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093784,3620,2011,16,2011-08-13,Botafogo-RJ,America-MG,4,2,4-4-2,3-5-2,Caio Júnior,Givanildo Oliveira
Transfermarkt,1093785,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093785,3621,2011,16,2011-08-14,Corinthians,Ceara,2,2,4-4-2,4-4-2,Tite,Vagner Mancini
Transfermarkt,1093786,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093786,3622,2011,16,2011-08-14,Vasco,Palmeiras,1,0,4-4-2,4-3-3 defensivo,Ricardo Gomes,Luiz Felipe Scolari
Transfermarkt,1093788,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093788,3623,2011,16,2011-08-14,Coritiba,Atletico-MG,3,0,4-3-3 ofensivo,4-5-1,Marcelo Oliveira,Cuca
Transfermarkt,1093787,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093787,3624,2011,16,2011-08-14,Figueirense,Flamengo,2,2,4-5-1,4-4-2,Jorginho,Vanderlei Luxemburgo
Transfermarkt,1093789,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093789,3625,2011,16,2011-08-14,Gremio,Fluminense,2,1,4-4-2,4-4-2,Celso Roth,Abel Braga
Transfermarkt,1093790,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093790,3626,2011,16,2011-08-14,Bahia,Internacional,1,1,4-4-2,4-4-2,Renê Simões,Dorival Júnior
Transfermarkt,1158415,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158415,3767,2011,31,2011-10-22,Palmeiras,Figueirense,1,2,4-4-2,4-4-2,Luiz Felipe Scolari,Jorginho
Transfermarkt,1158416,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158416,3768,2011,31,2011-10-22,Fluminense,Atletico-MG,0,2,4-4-2,4-4-2,Abel Braga,Cuca
Transfermarkt,1158418,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158418,3769,2011,31,2011-10-22,America-MG,Gremio,2,2,3-5-2,4-5-1,Givanildo Oliveira,Celso Roth
Transfermarkt,1158417,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158417,3770,2011,31,2011-10-22,Avai,Botafogo-RJ,3,2,4-5-1,4-4-2,Toninho Cecílio,Caio Júnior
Transfermarkt,1158420,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158420,3771,2011,31,2011-10-23,Internacional,Corinthians,1,1,4-5-1,4-3-3 defensivo,Dorival Júnior,Tite
Transfermarkt,1158419,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158419,3772,2011,31,2011-10-23,Sao Paulo,Coritiba,0,0,4-4-2,4-4-2,,
Transfermarkt,1158422,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158422,3773,2011,31,2011-10-23,Bahia,Vasco,0,2,4-4-2,4-4-2,Joel Santana,Cristóvão Borges
Transfermarkt,1158421,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158421,3774,2011,31,2011-10-23,Athletico-PR,Ceara,1,0,4-4-2,4-5-1,Antônio Lopes,Estevam Soares
Transfermarkt,1158424,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158424,3775,2011,31,2011-10-23,Cruzeiro,Atletico-GO,3,2,3-5-2,4-4-2,Vagner Mancini,Hélio dos Anjos
Transfermarkt,1158423,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158423,3776,2011,31,2011-10-23,Flamengo,Santos,1,1,4-4-2,4-3-3 defensivo,Vanderlei Luxemburgo,Muricy Ramalho
Transfermarkt,1164796,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164796,3797,2011,34,2011-11-12,Fluminense,America-MG,1,2,4-4-2,3-5-2,Abel Braga,Givanildo Oliveira
Transfermarkt,1164797,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164797,3798,2011,34,2011-11-12,Figueirense,Atletico-MG,2,1,4-4-2,4-5-1,Jorginho,Cuca
Transfermarkt,1164794,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164794,3799,2011,34,2011-11-12,Sao Paulo,Avai,2,0,3-5-2,4-5-1,Emerson Leão,Toninho Cecílio
Transfermarkt,1164801,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164801,3800,2011,34,2011-11-13,Coritiba,Flamengo,2,0,4-4-2,4-4-2,Marcelo Oliveira,Vanderlei Luxemburgo
Transfermarkt,1164799,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164799,3801,2011,34,2011-11-13,Ceara,Santos,2,3,4-5-1,4-4-2,Dimas Filgueiras,Muricy Ramalho
Transfermarkt,1164802,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164802,3802,2011,34,2011-11-13,Gremio,Palmeiras,2,2,4-4-2,4-4-2,Celso Roth,Luiz Felipe Scolari
Transfermarkt,1164793,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164793,3803,2011,34,2011-11-13,Corinthians,Athletico-PR,2,1,4-3-3 defensivo,4-4-2,Tite,Antônio Lopes
Transfermarkt,1164795,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164795,3804,2011,34,2011-11-13,Vasco,Botafogo-RJ,2,0,,,Cristóvão Borges,Caio Júnior
Transfermarkt,1164800,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164800,3805,2011,34,2011-11-13,Atletico-GO,Bahia,0,1,4-4-2,4-5-1,Hélio dos Anjos,Joel Santana
Transfermarkt,1164798,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164798,3806,2011,34,2011-11-13,Cruzeiro,Internacional,1,0,4-4-2,4-5-1,Vagner Mancini,Dorival Júnior
