temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2010,36,3443,2010-11-21,Vitoria,Corinthians,1-1,"formacao_mandante, formacao_visitante",Antônio Lopes,Tite,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009448,"tecnico_mandante, tecnico_visitante",Antônio Lopes,Tite,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,36,3445,2010-11-21,Avai,Atletico-GO,3-0,"formacao_mandante, formacao_visitante",Vágner Benazzi,Renê Simões,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009449,"tecnico_mandante, tecnico_visitante",Vágner Benazzi,Renê Simões,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,37,3456,2010-11-28,Avai,Santos,3-2,"formacao_mandante, formacao_visitante",Vágner Benazzi,Marcelo Martelotte,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009459,"tecnico_mandante, tecnico_visitante",Vágner Benazzi,Marcelo Martelotte,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,38,3466,2010-12-05,Vitoria,Atletico-GO,0-0,"formacao_mandante, formacao_visitante",Antônio Lopes,Renê Simões,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009468,"tecnico_mandante, tecnico_visitante",Antônio Lopes,Renê Simões,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,1,3467,2011-05-21,Atletico-MG,Athletico-PR,3-0,"formacao_mandante, formacao_visitante",Dorival Júnior,Adilson Batista,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091614,"tecnico_mandante, tecnico_visitante",Dorival Júnior,Adilson Batista,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,4,3504,2011-06-12,Atletico-GO,Ceara,4-1,"formacao_mandante, formacao_visitante",Paulo César Gusmão,Vagner Mancini,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093666,"tecnico_mandante, tecnico_visitante",Paulo César Gusmão,Vagner Mancini,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,7,3535,2011-06-30,Fluminense,Athletico-PR,3-1,"tecnico_mandante, tecnico_visitante",,,4-5-1,4-5-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093700,"formacao_mandante, formacao_visitante",,,4-5-1,4-5-1,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,9,3548,2011-07-09,Sao Paulo,Cruzeiro,2-1,"tecnico_mandante, tecnico_visitante",,,4-5-1,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093712,"formacao_mandante, formacao_visitante",,,4-5-1,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,11,3577,2011-07-21,Avai,Internacional,1-3,"tecnico_mandante, tecnico_visitante",,,3-5-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093734,"formacao_mandante, formacao_visitante",,,3-5-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,11,3579,2011-07-23,Athletico-PR,Botafogo-RJ,2-1,"formacao_mandante, formacao_visitante",Renato Gaúcho,Caio Júnior,,,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093731,"tecnico_mandante, tecnico_visitante",Renato Gaúcho,Caio Júnior,,,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,13,3592,2011-07-31,Internacional,Atletico-GO,0-0,"tecnico_mandante, tecnico_visitante",,,4-5-1,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093757,"formacao_mandante, formacao_visitante",,,4-5-1,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,15,3614,2011-08-07,Bahia,Atletico-GO,2-1,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093780,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,16,3618,2011-08-13,Atletico-GO,Santos,2-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093782,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2011,31,3772,2011-10-23,Sao Paulo,Coritiba,0-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158419,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
